word,answer,cosine_similarity
bijten,happen,0.979
bijten,kauwen,0.856
bijten,bijten,1.0
kruipen,paard,0.485
kruipen,schaap,0.514
kruipen,lam,0.531
drinken,drinken,1.0
eten,eten,1.0
lachen,lachen,1.0
zingen,zingen,1.0
bal,werpen,0.669
bal,bal,1.0
vlieg,vogel,0.706
vlieg,bij,0.575
vlieg,mug,0.742
zwaar,zwaar,1.0
man,piemel,0.62
man,man,1.0
regen,hagel,0.768
regen,regen,1.0
slang,slang,1.0
onweer,bom,0.564
onweer,storm,0.94
onweer,onweer,1.0
vangen,vangen,1.0
dansen,zingen,0.688
leeg,wind,0.539
groot,nadenken,0.502
kind,zingen,0.552
snel,vuurwerk,0.496
vuur,schieten,0.67
zout,vis,0.631
zuur,afkeur,0.543
onweer,papier,0.494
olifant,wind,0.558
bloem,hoogte,0.516
koud,koud,1.0
ei,pot,0.621
vliegen,glijbaan,0.549
grommen,beer,0.57
horen,fluisteren,0.634
lachen,lachen,1.0
wind,wind,1.0
koken,snijden,0.57
gek,clown,0.712
dood,dood,1.0
vlieg,vliegen,0.942
man,dik,0.501
sterk,sterk,1.0
vallen,vallen,1.0
vechten,vechten,1.0
gooien,gooien,1.0
snijden,snijden,1.0
knippen,knippen,1.0
vrouw,vrouw,1.0
vis,vis,1.0
goed,blij,0.697
niet,fout,0.629
klein,klein,1.0
ademen,ademen,1.0
zwemmen,zwemmen,1.0
haasten,rennen,0.678
rijk,geld,0.585
boos,boos,1.0
zoemen,dansen,0.532
scherp,eten,0.51
zoet,eten,0.646
staart,hond,0.615
verbranden,schrijven,0.548
kauwen,kauwen,1.0
auto,rijden,0.742
comfortabel,knuffelen,0.607
vogel,vogel,1.0
oud,oma,0.694
regen,regen,1.0
bijten,bijten,1.0
huilen,baby,0.586
drinken,drinken,1.0
rennen,rennen,1.0
zingen,blij,0.6
zingen,zingen,1.0
bal,schieten,0.644
bal,geweer,0.588
bal,kogel,0.746
walgen,leeuw,0.508
ver,vuurwerk,0.529
ver,vliegtuig,0.518
ver,vliegen,0.585
zwaar,vermoeid,0.652
zwaar,opgelucht,0.672
zwaar,geïrriteerd,0.616
luidruchtig,zingen,0.604
luidruchtig,praten,0.562
luidruchtig,ruzie,0.663
geur,vragen,0.504
geur,genot,0.567
geur,comfortabel,0.532
langzaam,trein,0.554
langzaam,snijden,0.509
langzaam,lopen,0.614
slapen,slapen,1.0
juichen,blij,0.74
juichen,winnen,0.608
juichen,vreugde,0.804
klok,klok,1.0
bitter,schaap,0.482
bitter,vies,0.708
bitter,stank,0.592
misschien,bij,0.655
misschien,nieuwsgierig,0.571
misschien,moe,0.535
verdrietig,dieren,0.516
verdrietig,stank,0.516
verdrietig,baby,0.518
bang,gillen,0.622
bang,paniek,0.796
bang,heet,0.542
kruipen,snijden,0.53
kruipen,knippen,0.554
kruipen,trein,0.501
slaan,knal,0.723
slaan,vallen,0.711
slaan,slaan,1.0
fluisteren,vliegen,0.533
fluisteren,wind,0.619
fluisteren,vuur,0.498
telefoon,muziek,0.553
telefoon,koptelefoon,0.713
telefoon,bellen,0.836
eend,kip,0.772
eend,eend,1.0
hond,kat,0.896
hond,hond,1.0
stil,stilte,0.896
stil,stil,1.0
slang,rivier,0.579
slang,vis,0.606
slang,meer,0.506
piepen,vis,0.487
piepen,vissen,0.479
piepen,bal,0.506
eten,eten,1.0
weten,idee,0.646
weten,slim,0.606
weten,inzicht,0.702
water,drinken,0.692
water,beker,0.638
water,thee,0.622
geheim,roddelen,0.606
geheim,geheim,1.0
zwaaien,zwaaien,1.0
blij,glimlach,0.687
blij,blij,1.0
heet,warm,0.856
heet,zweten,0.626
heet,zomer,0.611
springen,enthousiast,0.58
springen,springen,1.0
likken,likken,1.0
ruiken,ruiken,1.0
staan,staan,1.0
lopen,rennen,0.867
lopen,joggen,0.749
lopen,hardlopen,0.864
glimlach,blij,0.687
glimlach,glimlach,1.0
fiets,fietsen,0.975
fiets,wielrenner,0.941
fiets,roeien,0.594
bliksem,raket,0.626
bliksem,meteor,
bliksem,bom,0.59
ziek,ziek,1.0
blazen,wind,0.732
blazen,ademhalen,0.663
blazen,blazen,1.0
geven,overgeven,0.797
geven,geven,1.0
jagen,oorlog,0.583
jagen,schieten,0.735
jagen,scheppen,0.621
zuigen,slurpen,0.772
zuigen,ijsje,0.567
zuigen,zuigen,1.0
kotsen,overgeven,0.887
kotsen,braken,0.979
vliegtuig,vliegtuig,1.0
sneeuw,regen,0.727
sneeuw,sneeuw,1.0
ik,ik,1.0
kat,kat,1.0
hoog,hoog,1.0
hoorn,konijn,0.593
hoorn,wesp,0.511
hoorn,bij,0.521
berg,berg,1.0
dik,zwanger,0.574
dik,dik,1.0
vangen,raket,0.481
vangen,gooien,0.677
vangen,pot,0.548
rijk,geld,0.585
haasten,rennen,0.678
ei,eten,0.617
berg,bergen,0.776
regen,regen,1.0
zoet,lekker,0.807
bijten,bijten,1.0
vechten,boksen,0.773
jagen,schieten,0.735
auto,racen,0.696
olifant,olifant,1.0
hond,hond,1.0
luidruchtig,waterspuwer,0.525
niet,afkeuren,0.599
sterk,spierbal,0.654
kruipen,sluipen,0.786
weten,nadenken,0.713
lachen,lachen,1.0
comfortabel,rusten,0.669
bloem,bloemen,0.861
vlieg,scherf,0.514
zwaar,tillen,0.562
hoorn,muziekinstrument,0.734
heet,zon,0.626
stil,stil,1.0
verbranden,verbranden,1.0
huilen,verdrietig,0.695
koken,pannenkoeken bakken,
snijden,snijden,1.0
ik,jezelf,0.806
snel,rennen,0.688
vrouw,lichaam,0.598
misschien,chillen,0.544
zuur,vies,0.623
drinken,drinken,1.0
springen,springen,1.0
leeg,blazen,0.583
dansen,zingen,0.688
zoemen,bij,0.582
scherp,kassa,0.518
klein,denken,0.543
piepen,lachen,0.651
dik,lekker,0.645
geven,misschien,0.597
zuigen,slurpen,0.772
gek,twijfelen,0.548
knippen,proeven,0.521
boos,boosheid,0.853
groot,verbazing,0.597
slang,slang,1.0
slaan,pijn,0.553
zwemmen,water,0.7
gooien,opstijgen,0.61
lopen,wandelen,0.875
klok,klok,1.0
eend,verdrietig,0.543
eend,eend,1.0
bitter,vies,0.708
bitter,smaak,0.625
bitter,matig,0.634
hoog,hoog,1.0
geur,geur,1.0
oud,oud,1.0
likken,ijs,0.552
likken,likken,1.0
ruiken,ruiken,1.0
kotsen,overgeven,0.887
kotsen,kotsen,1.0
vliegtuig,vliegtuig,1.0
fiets,fietsen,0.975
fiets,fiets,1.0
vogel,meeuw,0.753
vogel,vogel,1.0
ver,gooien,0.538
ver,geïrriteerd,0.553
ver,onaardig,0.567
bliksem,onweer,0.846
bliksem,bliksem,1.0
verdrietig,tranen,0.802
verdrietig,huilen,0.695
verdrietig,verdriet,0.805
rennen,rennen,1.0
slapen,snurken,0.797
slapen,slapen,1.0
fluisteren,fluisteren,1.0
juichen,juichen,1.0
telefoon,telefoon,1.0
kind,kind,1.0
goed,goed,1.0
staart,staart,1.0
blazen,wind,0.732
blazen,blazen,1.0
eten,eten,1.0
grommen,boos,0.653
grommen,geïrriteerd,0.661
grommen,grommen,1.0
horen,luisteren,0.813
horen,horen,1.0
zwaaien,zwaaien,1.0
glimlach,lachen,0.858
glimlach,grijns,0.945
glimlach,blij,0.687
dood,dood,1.0
vis,haai,0.814
vis,vis,1.0
ademen,ademen,1.0
vangen,bal,0.575
vangen,vangen,1.0
kauwen,kauwen,1.0
water,poolparty,
water,vakantie,0.485
water,strand,0.6
wind,waterspuwer,0.612
wind,wind,1.0
bal,leggen,0.498
bal,denken,0.5
bal,proesten,0.508
geheim,spray,0.493
geheim,fluisteren,0.645
geheim,praten,0.548
kat,kat,1.0
koud,koud,1.0
vuur,bang,0.513
vuur,waaien,0.607
vuur,wandelen,0.491
man,luisteren,0.52
man,eens,0.561
man,ik,0.654
ziek,verkouden,0.64
ziek,ziek,1.0
langzaam,auto,0.531
langzaam,luid,0.556
langzaam,saai,0.675
vallen,vallen,1.0
sneeuw,wind,0.6
sneeuw,regen,0.727
sneeuw,sneeuw,1.0
zingen,wandelen,0.591
zingen,zingen,1.0
walgen,vies,0.677
walgen,walging,0.871
blij,blij,1.0
zout,proeven,0.573
zout,gorgelen,0.633
zout,lekker,0.589
bang,bang,1.0
onweer,onweer,1.0
vliegen,storm,0.563
vliegen,wind,0.628
vliegen,water,0.57
staan,nee,0.613
staan,deze,0.629
staan,hallo,0.555
dansen,dansen,1.0
snijden,snijden,1.0
boos,boos,1.0
vogel,vogel,1.0
hoog,klimmen,0.665
klein,hurken,0.552
ademen,ademen,1.0
kruipen,klauteren,0.738
fluisteren,fluisteren,1.0
bloem,achtbaan,0.501
haasten,rennen,0.678
vuur,wind,0.589
luidruchtig,zeuren,0.705
geur,ruiken,0.933
zuur,proeven,0.586
zoet,lekker,0.807
staan,standbeeld,0.587
zwemmen,zwemmen,1.0
leeg,verwarring,0.566
rijk,geld,0.585
groot,groot,1.0
bitter,vies,0.708
niet,nee,0.873
regen,regen,1.0
stil,stil,1.0
slang,vis,0.606
rennen,rennen,1.0
olifant,olifant,1.0
knippen,kapper,0.683
ik,persoon,0.656
sterk,sterk,1.0
dik,zwanger,0.574
drinken,drinken,1.0
vallen,vallen,1.0
gooien,gooien,1.0
water,water,1.0
auto,auto,1.0
gek,lachen,0.639
walgen,braken,0.741
blij,lachen,0.673
heet,buiten adem,
verdrietig,huilen,0.695
bijten,eten,0.698
lachen,lachen,1.0
kotsen,braken,0.979
comfortabel,nadenken,0.516
koken,brommer,0.522
ver,vallen,0.548
goed,geïrriteerd,0.543
staart,slurpen,0.567
vangen,schieten,0.673
horen,lachen,0.556
slaan,geweer,0.519
slapen,slapen,1.0
glimlach,neuriën,0.602
glimlach,lachen,0.858
glimlach,goedkeuring,0.542
fiets,telefoon,0.53
fiets,bushalte,0.602
fiets,autoweg,0.681
kind,baby,0.881
kind,kraaien,0.563
kind,vragen,0.547
koud,koud,1.0
vis,vis,1.0
hoorn,cruiseschip,0.539
hoorn,vliegtuig,0.549
hoorn,stoomboot,0.551
oud,sexy,0.505
oud,verbaasd,0.486
oud,frustratie,0.5
huilen,huilen,1.0
ruiken,snikken,0.575
ruiken,verkouden,0.539
ruiken,ruiken,1.0
vliegtuig,magnetron,0.509
vliegtuig,föhn,0.542
vliegtuig,vlieg,0.784
geheim,fluisteren,0.645
geheim,geheim,1.0
dood,dood,1.0
vlieg,motor,0.521
vlieg,bij,0.575
vlieg,mug,0.742
zwaar,zwaar,1.0
bliksem,bom,0.59
bliksem,schieten,0.62
bliksem,pijl,0.61
berg,stampen,0.537
berg,sex,0.512
berg,masturberen,0.486
vechten,vechten,1.0
zuigen,slurpen,0.772
zuigen,drinken,0.628
zuigen,kauwen,0.672
klok,klok,1.0
eend,kikker,0.7
eend,eend,1.0
vrouw,douchen,0.513
vrouw,sexy,0.524
vrouw,zwanger,0.633
zout,eten,0.58
zout,koken,0.623
zout,diner,0.509
scherp,prikken,0.621
scherp,snijden,0.623
scherp,pijn,0.594
verbranden,heet,0.706
verbranden,verbrand,0.942
verbranden,heet,0.706
eten,lekker,0.697
eten,eten,1.0
geven,kado,0.719
geven,geven,1.0
springen,feesten,0.558
springen,springen,1.0
zwaaien,groeten,0.613
zwaaien,zwaaien,1.0
zingen,zingen,1.0
hond,hond,1.0
misschien,twijfel,0.612
misschien,onverschillig,0.541
misschien,eens,0.777
bang,schrikken,0.874
bang,teleurgesteld,0.689
bang,niet willen,
langzaam,vervelen,0.573
langzaam,langzaam,1.0
blazen,blazen,1.0
likken,likken,1.0
lopen,snelwandelen,0.704
lopen,marcheren,0.78
lopen,skiën,0.583
bal,dribbelen,0.705
bal,bal,1.0
telefoon,bellen,0.836
telefoon,telefoon,1.0
ei,ei,1.0
snel,rennen,0.688
snel,sprinten,0.696
snel,snel,1.0
man,bodybuilder,0.622
man,sterk,0.535
man,man,1.0
piepen,hardcore,
piepen,muziek,0.562
piepen,rumoer,0.685
jagen,jagen,1.0
weten,goed,0.632
weten,idee,0.646
weten,ik,0.703
wind,verdrinken,0.516
wind,wind,1.0
sneeuw,sneeuw,1.0
juichen,winnen,0.608
juichen,aanmoedigen,0.641
juichen,juichen,1.0
zoemen,plat,0.544
zoemen,mug,0.609
zoemen,geluid,0.769
kat,kat,1.0
ziek,verdrietig,0.672
ziek,ziek,1.0
onweer,bladeren,0.533
onweer,bliksem,0.846
onweer,onweer,1.0
kauwen,kauwen,1.0
vliegen,vliegen,1.0
grommen,boos,0.653
grommen,grommen,1.0
koken,soep,0.756
rijk,geld,0.585
blij,lachen,0.673
bang,schrikken,0.874
slang,slang,1.0
bijten,bijten,1.0
verbranden,pijn,0.559
kotsen,kotsen,1.0
fluisteren,fluisteren,1.0
dansen,dansen,1.0
auto,autorijden,0.913
ik,stem,0.541
dood,dood,1.0
vrouw,meisje,0.807
vlieg,bij,0.575
niet,stop,0.618
staart,kat,0.629
grommen,leeuw,0.554
snijden,bakken,0.591
olifant,olifant,1.0
groot,hoog,0.724
walgen,vies,0.677
hoorn,gooien,0.494
geur,denken,0.537
ziek,ziek,1.0
zwemmen,zwemmen,1.0
lopen,dansen,0.591
gek,clown,0.712
leeg,vierkant,0.571
vogel,vogel,1.0
hoog,groot,0.724
zout,eten,0.58
dik,dik,1.0
vangen,vangen,1.0
gooien,gooien,1.0
water,golven,0.593
bloem,bloem,1.0
haasten,schreeuwen,0.609
bitter,vies,0.708
vuur,muis,0.493
vis,zwemmen,0.717
berg,spook,0.545
weten,snappen,0.798
zuigen,pijn,0.529
wind,wind,1.0
knippen,skiën,0.549
comfortabel,balen,0.539
zoemen,bij,0.582
goed,bevestigen,0.547
oud,moe,0.627
geven,lachen,0.534
springen,ongeloofwaardig,0.557
rennen,buiten adem,
staan,boos,0.519
bal,rond,0.613
bal,bal,1.0
juichen,juichen,1.0
hond,hond,1.0
zwaar,zwaar,1.0
misschien,twijfel,0.612
misschien,overwegen,0.666
verdrietig,huilen,0.695
blazen,blazen,1.0
likken,likken,1.0
ruiken,ruiken,1.0
klok,klok,1.0
glimlach,lachen,0.858
glimlach,glimlach,1.0
kat,kat,1.0
man,sterk,0.535
man,groot,0.542
man,man,1.0
zuur,bitter,0.791
zuur,citroen,0.722
zuur,vies,0.623
zoet,eten,0.646
zoet,lekker,0.807
zoet,snoepje,0.87
kauwen,kauwen,1.0
vechten,vechten,1.0
jagen,schieten,0.735
jagen,doden,0.679
jagen,jagen,1.0
zwaaien,zwaaien,1.0
zingen,zingen,1.0
kind,kabouter,0.59
kind,klein,0.664
kind,smurf,0.58
ei,ei,1.0
bliksem,graffiti,0.506
bliksem,bliksem,1.0
regen,regen,1.0
piepen,kuiken,0.6
piepen,stem,0.657
piepen,praten,0.648
ademen,zuchten,0.743
ademen,ademen,1.0
vallen,vallen,1.0
sneeuw,sneeuw,1.0
geheim,roddelen,0.606
geheim,fluisteren,0.645
geheim,geheim,1.0
snel,skiën,0.555
snel,rennen,0.688
snel,hardlopen,0.673
scherp,prikken,0.621
scherp,doorn,0.608
scherp,scherf,0.607
kruipen,baby,0.523
kruipen,schaapje,0.514
kruipen,kruipen,1.0
drinken,drinken,1.0
vliegen,vliegen,1.0
horen,luisteren,0.813
horen,horen,1.0
slapen,slapen,1.0
telefoon,bellen,0.836
telefoon,ringtone,0.755
telefoon,alarm,0.632
eend,eend,1.0
koud,koud,1.0
ver,zuchten,0.553
ver,vermoeid,0.568
ver,geïrriteerd,0.553
luidruchtig,oorlog,0.532
luidruchtig,protest,0.64
luidruchtig,schreeuwen,0.734
langzaam,klok,0.579
langzaam,geweer,0.513
langzaam,kerk,0.512
sterk,grommen,0.556
sterk,zuchten,0.535
sterk,vermoeid,0.592
onweer,drum,0.514
onweer,grap,0.493
onweer,orkest,0.541
lachen,lachen,1.0
vliegtuig,bij,0.521
vliegtuig,zaag,0.54
vliegtuig,stofzuiger,0.555
fiets,wekker,0.518
fiets,vliegen,0.558
fiets,boot,0.614
boos,skeptisch,0.685
boos,boos,1.0
heet,zuchten,0.565
heet,moe,0.573
heet,warm,0.856
stil,zingen,0.56
stil,uitleggen,0.506
stil,praten,0.564
klein,kuiken,0.603
klein,klein,1.0
huilen,huilen,1.0
eten,eten,1.0
slaan,knal,0.723
slaan,vechten,0.654
slaan,slaan,1.0
gek,,0.48
auto,auto,1.0
bitter,walging,0.612
dood,teleurstelling,0.551
hoog,opluchting,0.516
staart,wind,0.552
ademen,zuchten,0.743
geven,twijfel,0.545
water,wind,0.603
koken,trein,0.523
leeg,spannend,0.556
zoemen,bij,0.582
ei,slaan,0.544
niet,nadenken,0.547
blazen,wind,0.732
eten,eten,1.0
grommen,boren,0.549
horen,verbaasd,0.591
haasten,rennen,0.678
rijk,bewonderen,0.51
walgen,overgeven,0.676
snel,auto,0.583
vlieg,vliegen,0.942
scherp,heet,0.66
verbranden,pijn,0.559
jagen,gooien,0.619
zuigen,zuigen,1.0
bloem,boek,0.543
comfortabel,dromen,0.558
vogel,vogel,1.0
man,aap,0.565
misschien,twijfelen,0.642
sterk,sterk,1.0
kruipen,kruipen,1.0
vliegen,vliegen,1.0
lopen,hardlopen,0.864
snijden,snijden,1.0
knippen,knippen,1.0
ik,hoofd,0.532
vrouw,lichaam,0.598
vis,vis,1.0
zwaar,steen,0.57
oud,oud,1.0
zout,pindakaas,0.625
zoet,voorbereiden,0.532
dansen,dansen,1.0
olifant,olifant,1.0
hond,hijgen,0.524
vuur,vuur,1.0
luidruchtig,schreeuwen,0.734
langzaam,lopen,0.614
bijten,bijten,1.0
weten,slim,0.606
lachen,lachen,1.0
klok,klok,1.0
telefoon,telefoon,1.0
hoorn,trompet,0.83
hoorn,hoorn,1.0
heet,heet,1.0
slang,slang,1.0
piepen,alarm,0.668
piepen,signaal,0.614
piepen,frictie,0.539
drinken,drinken,1.0
slaan,slaan,1.0
slapen,slapen,1.0
sneeuw,vallen,0.568
sneeuw,sneeuwen,0.981
sneeuw,sneeuw,1.0
fiets,fiets,1.0
boos,boos,1.0
groot,groot,1.0
kat,kat,1.0
kind,kind,1.0
geur,reuken,0.987
geur,reuk,0.987
geur,ademen,0.668
dik,dik,1.0
likken,likken,1.0
bal,stuiteren,0.693
bal,lanceren,0.545
bal,trampoline,0.62
juichen,juichen,1.0
verdrietig,huilen,0.695
verdrietig,snikken,0.717
verdrietig,troosten,0.603
bang,angst,0.876
bang,tegenzin,0.641
bang,vluchten,0.59
rennen,wind,0.578
rennen,sporten,0.627
rennen,ademen,0.58
staan,stampen,0.575
staan,leeg,0.579
staan,chagrijnig,0.503
kotsen,overgeven,0.887
kotsen,kotsen,1.0
fluisteren,fluisteren,1.0
wind,wind,1.0
zwaaien,wijzen,0.625
zwaaien,roepen,0.633
zwaaien,praten,0.557
geheim,stil,0.633
geheim,fluisteren,0.645
geheim,zacht,0.55
ver,vallen,0.548
ver,vliegtuig,0.518
ver,neerstorten,0.535
goed,begrijpen,0.592
goed,snappen,0.568
goed,gesprek,0.533
ziek,moe,0.703
ziek,moeizaam,0.632
ziek,moeilijk,0.653
onweer,ontploffen,0.593
onweer,bom,0.564
onweer,verwoesten,0.585
vangen,gesprek,0.532
vangen,herkennen,0.642
vangen,roepen,0.617
vechten,vechten,1.0
zwemmen,rijden,0.599
zwemmen,hardlopen,0.667
zwemmen,zweven,0.643
eend,kip,0.772
eend,zwemmen,0.607
eend,eend,1.0
glimlach,lach,0.965
glimlach,glimlach,1.0
bliksem,scheef,0.506
bliksem,ravijn,0.518
bliksem,litteken,0.51
berg,dak,0.585
berg,berg,1.0
klein,kind,0.664
klein,klein,1.0
kauwen,eten,0.748
kauwen,kauwen,1.0
huilen,huilen,1.0
vallen,vallen,1.0
springen,springen,1.0
vliegtuig,vliegen,0.872
vliegtuig,vliegtuig,1.0
zingen,zingen,1.0
koud,koud,1.0
blij,blij,1.0
regen,klimmen,0.53
regen,regen,1.0
stil,stil,1.0
zuur,misselijk,0.648
zuur,ziek,0.59
zuur,zuur,1.0
ruiken,reuken,0.952
gooien,gooien,1.0
haasten,hijgen,0.582
auto,motor,0.874
koud,bibberen,0.614
snel,hijgen,0.575
goed,goedkeuring,0.613
niet,grinniken,0.49
ziek,hoesten,0.661
weten,knikken,0.559
water,blazen,0.584
gek,kotsen,0.555
comfortabel,nadenken,0.516
ik,zingen,0.551
ei,vrolijk,0.525
hoog,pijn,0.534
slang,slang,1.0
eten,eten,1.0
zuigen,drinken,0.628
wind,wind,1.0
rijk,rijken,0.945
olifant,olifant,1.0
zwaar,groot,0.76
berg,bergen,0.776
oud,bejaard,0.907
langzaam,slowmotion,
sterk,sterk,1.0
kruipen,kat,0.548
huilen,huilen,1.0
bloem,bloeien,0.7
snijden,smeren,0.604
groot,uitrekken,0.573
bitter,walgen,0.647
ver,zoeken,0.582
hoorn,teletubbie,
luidruchtig,schreeuwen,0.734
staart,afvegen,0.537
slaan,slaan,1.0
leeg,rond,0.591
dansen,dansen,1.0
bliksem,zigzag,0.508
piepen,smeken,0.58
jagen,vechten,0.633
springen,pompen,0.574
likken,likken,1.0
ruiken,bloemen ruiken,
zwemmen,zwemmen,1.0
koken,verven,0.554
knippen,knippen,1.0
dood,doden,0.807
hond,hond,1.0
man,tennisser,0.565
zuur,vies,0.623
onweer,vuurwerk,0.616
verbranden,prikken,0.591
gooien,basketbal,0.6
glimlach,lachen,0.858
glimlach,glimlachen,0.992
zwaaien,zwaaien,1.0
vogel,vogel,1.0
vrouw,vrouw,1.0
vlieg,vliegtuig,0.784
vlieg,vliegen,0.942
vlieg,vlieg,1.0
regen,regen,1.0
zoet,snoepje,0.87
zoet,proeven,0.585
zoet,lekker vinden,
horen,luisteren,0.813
horen,horen,1.0
staan,staan,1.0
fiets,fietsen,0.975
fiets,fiets,1.0
geheim,roddelen,0.606
geheim,geheim,1.0
heet,warm,0.856
heet,warmte,0.838
heet,verhit,0.856
verdrietig,huilen,0.695
verdrietig,verdriet,0.805
verdrietig,verdrietig,1.0
bang,bang,1.0
klein,klein,1.0
ademen,ademen,1.0
lachen,lachen,1.0
kotsen,kotsen,1.0
klok,klok,1.0
vliegtuig,wind,0.598
vliegtuig,waaien,0.563
vliegtuig,rijden,0.592
kat,kat,1.0
drinken,drinken,1.0
vallen,slaan,0.711
vallen,pijn,0.518
vallen,vallen,1.0
vliegen,blazen,0.582
vliegen,wind,0.628
vliegen,waaien,0.628
geven,knikken,0.658
geven,instemmen,0.704
geven,luisteren,0.632
rennen,hijgen,0.617
rennen,blazen,0.552
rennen,aap,0.551
lopen,neuriën,0.55
lopen,piepen,0.618
lopen,zingen,0.586
telefoon,begrijpen,0.497
telefoon,luisteren,0.622
telefoon,geluid,0.623
zingen,zingen,1.0
zoemen,bij,0.582
zoemen,wesp,0.604
zoemen,bromvlieg,0.597
vuur,dj,0.503
vuur,radio,0.542
vuur,ruis,0.535
blij,huppelen,0.577
blij,vrolijk,0.882
blij,lachen,0.673
stil,stilte,0.896
bijten,eten,0.698
bijten,pijn,0.583
bijten,tanden,0.674
grommen,boos,0.653
grommen,frustratie,0.569
grommen,woest,0.628
slapen,slapen,1.0
juichen,juichen,1.0
bal,gooien,0.656
bal,bal,1.0
kind,klein,0.664
kind,kind,1.0
walgen,walgen,1.0
misschien,keuze maken,
misschien,kiezen,0.579
misschien,onzeker,0.562
vangen,vangen,1.0
kauwen,kauwen,1.0
vechten,worstelen,0.85
vechten,vechten,1.0
fluisteren,fluisteren,1.0
sneeuw,sneeuw,1.0
eend,eend,1.0
boos,boos,1.0
vis,vis,1.0
geur,ruiken,0.933
geur,geur,1.0
zout,kiezen,0.485
zout,kruiden,0.729
zout,zout,1.0
scherp,prikken,0.621
scherp,snijden,0.623
scherp,scherp,1.0
dik,dik,1.0
blazen,blazen,1.0
bloem,vlinder,0.682
gek,gek,1.0
ei,aap,0.572
vrouw,olifant,0.524
geur,ruiken,0.933
klein,klein,1.0
slang,knaagdier,0.611
zuur,vies,0.623
onweer,regen,0.855
langzaam,bejaard,0.577
comfortabel,ontspannen,0.771
ik,ik,1.0
groot,groot,1.0
ver,wijzen,0.579
piepen,muis,0.579
vangen,vangen,1.0
vliegen,vliegen,1.0
likken,ijsje,0.589
dansen,neuriën,0.585
olifant,olifant,1.0
vuur,wind,0.589
scherp,electriciteit,0.494
vallen,vallen,1.0
rennen,vermoeidheid,0.528
ruiken,ruiken,1.0
gooien,falen,0.622
water,druppels,0.682
snel,vogel,0.508
snijden,schieten,0.611
vogel,berichtje,0.477
luidruchtig,overgeven,0.527
berg,verbazing,0.523
sterk,eten,0.502
zoet,proeven,0.585
slapen,slapen,1.0
lopen,zingen,0.586
knippen,knippen,1.0
haasten,sprinten,0.707
zoemen,bij,0.582
kat,kat,1.0
zwaar,tillen,0.562
bang,bang,1.0
bijten,knagen,0.849
geven,geven,1.0
lachen,grappig,0.774
koken,proeven,0.6
auto,rijden,0.742
bitter,vies,0.708
goed,goed,1.0
stil,stilte,0.896
langzaam,verspringen,0.459
dik,dik,1.0
blazen,blazen,1.0
vechten,boksen,0.773
zwaaien,zwaaien,1.0
telefoon,bellen,0.836
telefoon,mobieltje,0.865
telefoon,opnemen,0.595
kind,wandelen,0.515
kind,spelen,0.589
kind,krimpen,0.515
dood,doodgaan,0.843
dood,hangen,0.567
dood,moord,0.746
vis,zwemmen,0.717
vis,duiken,0.632
vis,vis,1.0
hoorn,brein,0.54
hoorn,konijnenoor,0.516
hoorn,hoorn,1.0
heet,heet,1.0
staart,staart,1.0
zwemmen,zwemmen,1.0
klok,klok,1.0
eend,eend,1.0
blij,herkenning,0.545
blij,toestemming,0.556
blij,blij,1.0
hoog,lucht,0.577
hoog,hemel,0.593
hoog,boven,0.753
misschien,vraag,0.566
misschien,onraad,0.498
misschien,verbazing,0.514
kruipen,kruipen,1.0
huilen,huilen,1.0
horen,luisteren,0.813
horen,afluisteren,0.724
horen,horen,1.0
zuigen,inademen,0.745
zuigen,zuigen,1.0
bal,stuiteren,0.693
bal,stuiterbal,0.821
bal,springen,0.563
zingen,zingen,1.0
man,mompelen,0.523
man,onderbreken,0.518
man,zingen,0.519
verdrietig,verdrietig,1.0
grommen,grommen,1.0
slaan,slaan,1.0
springen,stuiteren,0.781
springen,vallen,0.76
springen,trampoline,0.708
staan,vallen,0.689
staan,opstijgen,0.634
staan,opstaan,0.754
fluisteren,fluisteren,1.0
glimlach,lekker,0.576
glimlach,goed,0.544
glimlach,blij,0.687
vliegtuig,motor,0.652
vliegtuig,opstijgen,0.652
vliegtuig,piloot,0.836
boos,boos,1.0
vlieg,zoemen,0.592
vlieg,mug,0.742
vlieg,vlieg,1.0
ziek,hoesten,0.661
ziek,overgeven,0.62
ziek,kokhalzen,0.626
verbranden,motor,0.537
verbranden,struikelen,0.538
verbranden,schrikken,0.544
drinken,drinken,1.0
eten,eten,1.0
kotsen,kotsen,1.0
fiets,fietsen,0.975
fiets,wielrennen,0.895
fiets,motorrijden,
sneeuw,sneeuw,1.0
koud,koud,1.0
walgen,vies,0.677
walgen,kokhalzen,0.728
walgen,stinken,0.699
hond,aaien,0.656
hond,huisdier,0.919
hond,hond,1.0
snel,afslaan,0.571
snel,snel,1.0
bliksem,onweer,0.846
bliksem,bliksem,1.0
zout,zout,1.0
weten,slim,0.606
weten,leren,0.736
weten,studeren,0.627
geheim,stilte,0.705
geheim,geheim,1.0
juichen,juichen,1.0
niet,afkeuren,0.599
niet,verbieden,0.63
niet,ontkennen,0.63
oud,oud,1.0
regen,regen,1.0
ademen,ademen,1.0
kauwen,kauwen,1.0
jagen,jagen,1.0
wind,verdrinken,0.516
wind,wegspoelen,0.534
wind,overstroming,0.544
leeg,plassen,0.558
dansen,zingen,0.688
hond,hond,1.0
bliksem,pistool,0.567
regen,regen,1.0
ziek,kotsen,0.685
